Country,Year,Life Expectancy,Total Spending,Spending Type,Amount USD,percent,Numeric code
Australia,2010,81.8,3595.14,Government Spending,2467.574,68.64,36
Australia,2011,82.0,3809.112,Government Spending,2636.42,69.21,36
Australia,2012,82.1,3854.19,Government Spending,2602.958,67.54,36
Australia,2013,82.2,4092.619,Government Spending,2660.645,65.01,36
Australia,2014,82.4,4190.269,Government Spending,2712.428,64.73,36
Australia,2015,82.5,4383.645,Government Spending,2883.332,65.77,36
Australia,2016,82.5,4624.966,Government Spending,3053.117,66.01,36
Australia,2017,82.6,4659.025,Government Spending,3091.112,66.35,36
Australia,2018,82.8,4793.46,Government Spending,3192.682,66.6,36
Australia,2019,83.0,4919.24,Government Spending,3378.808,68.69,36
Australia,2010,81.8,3595.14,Private Voluntary Spending,417.552,11.61,36
Australia,2011,82.0,3809.112,Private Voluntary Spending,442.39,11.61,36
Australia,2012,82.1,3854.19,Private Voluntary Spending,482.925,12.53,36
Australia,2013,82.2,4092.619,Private Voluntary Spending,633.743,15.49,36
Australia,2014,82.4,4190.269,Private Voluntary Spending,664.857,15.87,36
Australia,2015,82.5,4383.645,Private Voluntary Spending,678.752,15.48,36
Australia,2016,82.5,4624.966,Private Voluntary Spending,718.215,15.53,36
Australia,2017,82.6,4659.025,Private Voluntary Spending,728.951,15.65,36
Australia,2018,82.8,4793.46,Private Voluntary Spending,746.528,15.57,36
Australia,2019,83.0,4919.24,Private Voluntary Spending,718.3854652,14.6,36
Australia,2010,81.8,3595.14,Out of Pocket Spending,710.014,19.75,36
Australia,2011,82.0,3809.112,Out of Pocket Spending,730.301,19.17,36
Australia,2012,82.1,3854.19,Out of Pocket Spending,768.307,19.93,36
Australia,2013,82.2,4092.619,Out of Pocket Spending,798.231,19.5,36
Australia,2014,82.4,4190.269,Out of Pocket Spending,812.983,19.4,36
Australia,2015,82.5,4383.645,Out of Pocket Spending,821.562,18.74,36
Australia,2016,82.5,4624.966,Out of Pocket Spending,853.634,18.46,36
Australia,2017,82.6,4659.025,Out of Pocket Spending,838.962,18.01,36
Australia,2018,82.8,4793.46,Out of Pocket Spending,854.25,17.82,36
Australia,2019,83.0,4919.24,Out of Pocket Spending,822.0475348,16.71,36
Austria,2010,80.7,4261.055,Government Spending,3180.755,74.65,40
Austria,2011,81.1,4345.16,Government Spending,3242.116,74.61,40
Austria,2012,81.0,4588.344,Government Spending,3426.503,74.68,40
Austria,2013,81.2,4767.085,Government Spending,3527.938,74.01,40
Austria,2014,81.6,4858.33,Government Spending,3595.678,74.01,40
Austria,2015,81.3,4943.515,Government Spending,3661.079,74.06,40
Austria,2016,81.7,5195.531,Government Spending,3842.678,73.96,40
Austria,2017,81.7,5315.353,Government Spending,3934.347,74.02,40
Austria,2018,81.8,5544.767,Government Spending,4149.584,74.84,40
Austria,2019,82.0,5705.102,Government Spending,4292.127,75.23,40
Austria,2020,81.3,5899.139,Government Spending,4504.329,76.36,40
Austria,2010,80.7,4261.055,Private Voluntary Spending,287.674,6.75,40
Austria,2011,81.1,4345.16,Private Voluntary Spending,288.78,6.65,40
Austria,2012,81.0,4588.344,Private Voluntary Spending,305.01,6.65,40
Austria,2013,81.2,4767.085,Private Voluntary Spending,325.238,6.82,40
Austria,2014,81.6,4858.33,Private Voluntary Spending,334.799,6.89,40
Austria,2015,81.3,4943.515,Private Voluntary Spending,338.664,6.85,40
Austria,2016,81.7,5195.531,Private Voluntary Spending,353.059,6.8,40
Austria,2017,81.7,5315.353,Private Voluntary Spending,362.97,6.83,40
Austria,2018,81.8,5544.767,Private Voluntary Spending,386.695,6.97,40
Austria,2019,82.0,5705.102,Private Voluntary Spending,404.615,7.09,40
Austria,2020,81.3,5899.139,Private Voluntary Spending,399.009,6.76,40
Austria,2010,80.7,4261.055,Out of Pocket Spending,792.625,18.6,40
Austria,2011,81.1,4345.16,Out of Pocket Spending,814.264,18.74,40
Austria,2012,81.0,4588.344,Out of Pocket Spending,856.832,18.67,40
Austria,2013,81.2,4767.085,Out of Pocket Spending,913.91,19.17,40
Austria,2014,81.6,4858.33,Out of Pocket Spending,927.852,19.1,40
Austria,2015,81.3,4943.515,Out of Pocket Spending,943.771,19.09,40
Austria,2016,81.7,5195.531,Out of Pocket Spending,999.794,19.24,40
Austria,2017,81.7,5315.353,Out of Pocket Spending,1018.037,19.15,40
Austria,2018,81.8,5544.767,Out of Pocket Spending,1008.488,18.19,40
Austria,2019,82.0,5705.102,Out of Pocket Spending,1008.36,17.67,40
Austria,2020,81.3,5899.139,Out of Pocket Spending,995.801,16.88,40
Belgium,2010,80.3,3922.228,Government Spending,2983.439,76.06,56
Belgium,2011,80.7,4065.113,Government Spending,3094.86,76.13,56
Belgium,2012,80.5,4243.908,Government Spending,3250.269,76.59,56
Belgium,2013,80.7,4435.931,Government Spending,3377.788,76.15,56
Belgium,2014,81.4,4588.226,Government Spending,3503.37,76.36,56
Belgium,2015,81.1,4654.247,Government Spending,3534.274,75.94,56
Belgium,2016,81.5,5003.902,Government Spending,3865.947,77.26,56
Belgium,2017,81.6,5136.174,Government Spending,3972.833,77.35,56
Belgium,2018,81.7,5358.892,Government Spending,4118.526,76.85,56
Belgium,2019,82.1,5458.401,Government Spending,4192.436,76.81,56
Belgium,2010,80.3,3922.228,Private Voluntary Spending,156.272,3.98,56
Belgium,2011,80.7,4065.113,Private Voluntary Spending,169.983,4.18,56
